[2023-05-14 17:03:05,547][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:03:09,298][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:14:59,344][bp_auth.py:login_user]{INFO} POST /auth/login
[2023-05-14 17:14:59,531][bp_auth.py:login_user]{INFO} Finished POST /auth/login
[2023-05-14 17:16:25,400][bp_auth.py:login_user]{INFO} POST /auth/login
[2023-05-14 17:16:25,426][bp_auth.py:login_user]{ERROR} There is no user with that email.
[2023-05-14 17:17:20,463][bp_auth.py:register_user]{INFO} POST /auth
[2023-05-14 17:17:20,656][bp_auth.py:register_user]{INFO} Finished POST /auth
[2023-05-14 17:18:41,131][ns_recipe.py:post]{INFO} POST /like
[2023-05-14 17:18:41,143][ns_recipe.py:post]{INFO} Finished POST /like
[2023-05-14 17:19:49,552][bp_auth.py:login_user]{INFO} POST /auth/login
[2023-05-14 17:19:49,739][bp_auth.py:login_user]{INFO} Finished POST /auth/login
[2023-05-14 17:20:02,375][ns_recipe.py:post]{INFO} POST /like
[2023-05-14 17:20:02,386][ns_recipe.py:post]{INFO} Finished POST /like
[2023-05-14 17:20:19,160][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:31:09,685][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:31:12,135][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 17:31:20,320][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:32:03,556][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 17:32:06,760][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:38:59,269][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 17:39:04,319][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:39:57,026][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:40:36,363][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:42:30,682][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:46:08,572][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:46:24,684][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:49:05,060][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:49:41,083][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:49:57,565][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:52:01,369][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:52:05,136][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:20,701][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:22,836][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:23,752][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:31,272][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:33,396][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:53:57,989][bp_auth.py:login_user]{INFO} POST /auth/login
[2023-05-14 17:53:58,174][bp_auth.py:login_user]{INFO} Finished POST /auth/login
[2023-05-14 17:54:08,823][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:54:28,971][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:55:14,234][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:56:01,490][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:56:01,537][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 17:57:59,993][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 17:58:00,039][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 17:59:59,386][ns_recipe.py:get]{INFO} GET /recipe
[2023-05-14 18:00:10,000][ns_recipe.py:get]{INFO} Finished GET /recipe
[2023-05-14 18:01:42,284][ns_recipe.py:get]{INFO} GET /recipe
